---------------------------------------------------------------------------------------------------------------------------------------------------------
                                                 Song Plays (YouTube) -- Generated 2020-06-16 20:36 UTC
---------------------------------------------------------------------------------------------------------------------------------------------------------


YouTube Key  Song Code     Perf Code     Song Name                                           Performer Name                                              

cPQ5nnwYA2Q  boy-like-me   elvis         A Boy Like Me, A Girl Like You                      Elvis Presley                                               
AE78rPjs6Mo  cane-collar   elvis         A Cane and A High Starched Collar                   Elvis Presley                                               
oh2wVSAnv98  h-everything  elvis         A House That Has Everything                         Elvis Presley                                               
ireqvLFf08A  all-i-am      elvis         All That I Am                                       Elvis Presley                                               
E2J13o-RsxA  am-i-ready    elvis         Am I Ready                                          Elvis Presley                                               
7RQuoPVMPT0  angel         elvis         Angel                                               Elvis Presley                                               
dv4h8yU_N7o  bagel-lox     rob-schneid   Bagels & Lox                                        Rob Schneider                                               
Oq8BI8wB8Fk  b-b-blues     elvis         Beach Boy Blues                                     Elvis Presley                                               
0IGp5zqeLLk  beg-luck      elvis         Beginners Luck                                      Elvis Presley                                               
DE9Mc9cnBkg  confidence    elvis         Confidence                                          Elvis Presley                                               
QlzCpTEhhQM  run-back-me   n-wilson      Don't Come Running Back to Me                       Nancy Wilson                                                
4pXqiV-gbEk  drums-isles   elvis         Drums of the Islands                                Elvis Presley                                               
h_i4Dmfowjs  earth-boy     elvis         Earth Boy                                           Elvis Presley                                               
xkLGm9B60oY  eggbert       r-clooney     Eggbert, The Easter Egg                             Rosemary Clooney                                            
tZK2FcTjBsE  five-heads    elvis         Five Sleepy Heads                                   Elvis Presley                                               
0hhN13Qzl-Q  millionth     elvis         For the Millionth and Last Time                     Elvis Presley                                               
3In-gZ5IL7s  ft-laud       elvis         Fort Lauderdale Chamber of Commerce                 Elvis Presley                                               
GkyjCJvHLsA  g-i-blues     elvis         G. I. Blues                                         Elvis Presley                                               
OP0JNb6jfqU  glad          jeff-beck     Glad All Over                                       Jeff Beck                                                   
ghag_1WCEuQ  glad          beatles       Glad All Over                                       The Beatles                                                 
BWyneW_A4_8  bye-boys      jay-amer      Goodbye Boys, Goodbye                               Jay and the Americans                                       
ggjntl7S7oA  h-sunset      elvis         Hawaiian Sunset                                     Elvis Presley                                               
ito_RR2kwS0  one-girl      elvis         I Love Only One Girl                                Elvis Presley                                               
0_Gycn0UJ9M  crush-ny      c-francis     I've Got a Crush on New York Town                   Connie Francis                                              
6RilIva9usA  isl-love      elvis         Island of Love                                      Elvis Presley                                               
7-tcw6w4Cj4  long-way      sinatra       It's a Long Way from Your House to My House         Frank Sinatra                                               
5GwapUKv5V4  wond-world    elvis         It's a Wonderful World                              Elvis Presley                                               
s1jb7o8GlrQ  ito-eats      elvis         Ito Eats                                            Elvis Presley                                               
Vf-9-rNHjcE  jenny-kiss    ed-albert     Jenny Kissed Me                                     Eddie Albert                                                
hyQSTzn58b0  old-sake      elvis         Just for Old Time Sake                              Elvis Presley                                               
